"name","essround","edition","proddate","idno","cntry","dweight","pspwght","pweight","anweight","prob","stratum","psu","pplfair","lrscale","trstplc","trstun","imbgeco","imwbcnt"
"ESS1e06_7",1,"6.7","23.11.2023",100322,"GB",1.0512,1.9455812,2.3268416,4.527059,,,,3,5,1,4,9,5
"ESS1e06_7",1,"6.7","23.11.2023",100324,"GB",1.0512,1.4326712,2.3268416,3.3335989,,,,0,5,2,9,9,9
"ESS1e06_7",1,"6.7","23.11.2023",100401,"GB",1.5768,2.1490068,2.3268416,5.0003986,,,,5,5,4,3,8,6
"ESS1e06_7",1,"6.7","23.11.2023",100405,"GB",0.5256,0.9727906,2.3268416,2.2635295,,,,6,6,9,5,6,5
"ESS1e06_7",1,"6.7","23.11.2023",100411,"GB",1.0512,1.6322713,2.3268416,3.7980368,,,,5,3,8,8,8,7
"ESS1e06_7",1,"6.7","23.11.2023",100413,"GB",0.5256,0.88928574,2.3268416,2.069227,,,,7,6,10,7,6,5
"ESS1e06_7",1,"6.7","23.11.2023",100415,"GB",0.5256,0.7715351,2.3268416,1.7952399,,,,7,4,7,9,7,9
"ESS1e06_7",1,"6.7","23.11.2023",100416,"GB",0.5256,0.8279003,2.3268416,1.9263928,,,,7,5,5,3,7,6
"ESS1e06_7",1,"6.7","23.11.2023",100421,"GB",1.0512,1.5430702,2.3268416,3.5904799,,,,4,5,7,7,4,4
"ESS1e06_7",1,"6.7","23.11.2023",100424,"GB",1.0512,1.6322713,2.3268416,3.7980368,,,,10,5,0,0,0,0
"ESS1e06_7",1,"6.7","23.11.2023",100503,"GB",0.5256,0.69256186,2.3268416,1.6114818,,,,0,5,9,0,5,6
"ESS1e06_7",1,"6.7","23.11.2023",100505,"GB",1.0512,1.2711874,2.3268416,2.957852,,,,5,8,8,5,7,5
"ESS1e06_7",1,"6.7","23.11.2023",100507,"GB",0.5256,0.69256186,2.3268416,1.6114818,,,,5,5,7,3,5,5
"ESS1e06_7",1,"6.7","23.11.2023",100508,"GB",1.5768,2.2727823,2.3268416,5.2884045,,,,6,5,6,5,5,5
"ESS1e06_7",1,"6.7","23.11.2023",100509,"GB",1.0512,1.201719,2.3268416,2.7962098,,,,6,4,4,5,1,5
"ESS1e06_7",1,"6.7","23.11.2023",100510,"GB",1.0512,1.115742,2.3268416,2.596155,,,,8,5,8,5,0,4
"ESS1e06_7",1,"6.7","23.11.2023",100511,"GB",2.1024,2.5423748,2.3268416,5.915704,,,,5,5,6,7,5,7
"ESS1e06_7",1,"6.7","23.11.2023",100512,"GB",1.0512,1.5151882,2.3268416,3.525603,,,,5,88,0,88,5,5
"ESS1e06_7",1,"6.7","23.11.2023",100514,"GB",0.5256,0.69256186,2.3268416,1.6114818,,,,10,5,2,5,5,88
"ESS1e06_7",1,"6.7","23.11.2023",100516,"GB",1.0512,1.201719,2.3268416,2.7962098,,,,5,9,8,9,2,5
"ESS1e06_7",1,"6.7","23.11.2023",100517,"GB",1.0512,1.201719,2.3268416,2.7962098,,,,4,88,6,88,6,7
"ESS1e06_7",1,"6.7","23.11.2023",100518,"GB",0.5256,0.69256186,2.3268416,1.6114818,,,,5,6,7,6,0,0
"ESS1e06_7",1,"6.7","23.11.2023",100519,"GB",0.5256,0.64475584,2.3268416,1.5002447,,,,7,4,3,4,5,5
"ESS1e06_7",1,"6.7","23.11.2023",100520,"GB",1.0512,1.115742,2.3268416,2.596155,,,,4,88,0,0,5,5
"ESS1e06_7",1,"6.7","23.11.2023",100522,"GB",0.5256,0.6008595,2.3268416,1.3981049,,,,6,88,8,6,4,88
"ESS1e06_7",1,"6.7","23.11.2023",100523,"GB",1.0512,1.115742,2.3268416,2.596155,,,,3,5,8,9,5,7
"ESS1e06_7",1,"6.7","23.11.2023",100601,"GB",1.0512,1.201719,2.3268416,2.7962098,,,,4,5,4,2,88,5
"ESS1e06_7",1,"6.7","23.11.2023",100603,"GB",1.0512,1.201719,2.3268416,2.7962098,,,,7,3,0,5,5,3
"ESS1e06_7",1,"6.7","23.11.2023",100604,"GB",1.0512,1.2895117,2.3268416,3.0004895,,,,5,5,7,4,5,5
"ESS1e06_7",1,"6.7","23.11.2023",100605,"GB",0.5256,0.557871,2.3268416,1.2980775,,,,8,5,8,9,3,3
"ESS1e06_7",1,"6.7","23.11.2023",100606,"GB",0.5256,0.6008595,2.3268416,1.3981049,,,,1,0,0,0,4,3
"ESS1e06_7",1,"6.7","23.11.2023",100607,"GB",1.0512,1.3851237,2.3268416,3.2229636,,,,4,5,3,2,0,5
"ESS1e06_7",1,"6.7","23.11.2023",100610,"GB",1.5768,2.2727823,2.3268416,5.2884045,,,,4,88,8,8,88,88
"ESS1e06_7",1,"6.7","23.11.2023",100611,"GB",1.0512,1.115742,2.3268416,2.596155,,,,5,3,4,5,3,5
"ESS1e06_7",1,"6.7","23.11.2023",100613,"GB",0.5256,0.6355937,2.3268416,1.478926,,,,6,3,8,6,5,5
"ESS1e06_7",1,"6.7","23.11.2023",100614,"GB",1.0512,1.115742,2.3268416,2.596155,,,,4,7,3,5,6,4
"ESS1e06_7",1,"6.7","23.11.2023",100615,"GB",0.5256,0.557871,2.3268416,1.2980775,,,,6,7,10,0,5,5
"ESS1e06_7",1,"6.7","23.11.2023",100617,"GB",0.5256,0.557871,2.3268416,1.2980775,,,,5,5,8,7,5,7
"ESS1e06_7",1,"6.7","23.11.2023",100618,"GB",1.0512,1.3851237,2.3268416,3.2229636,,,,6,7,6,7,5,5
"ESS1e06_7",1,"6.7","23.11.2023",100620,"GB",0.5256,0.69256186,2.3268416,1.6114818,,,,5,6,6,5,5,5
"ESS1e06_7",1,"6.7","23.11.2023",100621,"GB",1.0512,1.115742,2.3268416,2.596155,,,,8,10,5,4,2,2
"ESS1e06_7",1,"6.7","23.11.2023",100624,"GB",1.0512,1.115742,2.3268416,2.596155,,,,5,8,4,8,2,1
"ESS1e06_7",1,"6.7","23.11.2023",100703,"GB",1.0512,1.201719,2.3268416,2.7962098,,,,7,4,7,6,5,8
"ESS1e06_7",1,"6.7","23.11.2023",100707,"GB",1.5768,2.2727823,2.3268416,5.2884045,,,,6,6,8,1,3,5
"ESS1e06_7",1,"6.7","23.11.2023",100708,"GB",1.0512,1.115742,2.3268416,2.596155,,,,5,7,6,0,5,2
"ESS1e06_7",1,"6.7","23.11.2023",100716,"GB",1.5768,1.9342675,2.3268416,4.5007343,,,,5,2,7,6,6,7
"ESS1e06_7",1,"6.7","23.11.2023",100717,"GB",1.0512,1.2711874,2.3268416,2.957852,,,,8,4,7,88,8,7
"ESS1e06_7",1,"6.7","23.11.2023",100719,"GB",1.0512,1.2711874,2.3268416,2.957852,,,,6,8,7,9,6,5
"ESS1e06_7",1,"6.7","23.11.2023",100721,"GB",0.5256,0.64475584,2.3268416,1.5002447,,,,5,7,5,5,3,5
"ESS1e06_7",1,"6.7","23.11.2023",100722,"GB",1.0512,1.115742,2.3268416,2.596155,,,,3,6,8,6,7,1
"ESS1e06_7",1,"6.7","23.11.2023",100801,"GB",0.5256,0.69256186,2.3268416,1.6114818,,,,6,6,7,4,9,10
"ESS1e06_7",1,"6.7","23.11.2023",100802,"GB",0.5256,0.6355937,2.3268416,1.478926,,,,3,5,3,8,6,7
"ESS1e06_7",1,"6.7","23.11.2023",100803,"GB",0.5256,0.69256186,2.3268416,1.6114818,,,,10,10,1,5,0,10
"ESS1e06_7",1,"6.7","23.11.2023",100805,"GB",4,4.2455935,2.3268416,9.878823,,,,5,4,2,5,3,1
"ESS1e06_7",1,"6.7","23.11.2023",100806,"GB",1.0512,1.5151882,2.3268416,3.525603,,,,6,6,6,3,6,7
"ESS1e06_7",1,"6.7","23.11.2023",100812,"GB",0.5256,0.69256186,2.3268416,1.6114818,,,,3,88,5,88,5,5
"ESS1e06_7",1,"6.7","23.11.2023",100814,"GB",1.0512,1.201719,2.3268416,2.7962098,,,,6,3,6,3,5,4
"ESS1e06_7",1,"6.7","23.11.2023",100815,"GB",1.0512,1.2711874,2.3268416,2.957852,,,,6,5,8,7,7,7
"ESS1e06_7",1,"6.7","23.11.2023",100823,"GB",2.1024,2.7702475,2.3268416,6.445927,,,,7,5,3,3,2,3
"ESS1e06_7",1,"6.7","23.11.2023",100824,"GB",2.1024,2.403438,2.3268416,5.5924196,,,,6,5,7,5,2,2
"ESS1e06_7",1,"6.7","23.11.2023",100902,"GB",1.0512,1.115742,2.3268416,2.596155,,,,8,4,3,0,7,5
"ESS1e06_7",1,"6.7","23.11.2023",100907,"GB",1.5768,1.8025786,2.3268416,4.194315,,,,6,7,8,9,6,7
"ESS1e06_7",1,"6.7","23.11.2023",100911,"GB",1.5768,2.2727823,2.3268416,5.2884045,,,,3,5,5,6,5,3
"ESS1e06_7",1,"6.7","23.11.2023",100913,"GB",1.5768,2.0776856,2.3268416,4.8344455,,,,5,5,8,8,5,5
"ESS1e06_7",1,"6.7","23.11.2023",100918,"GB",1.0512,1.115742,2.3268416,2.596155,,,,2,3,1,1,1,1
"ESS1e06_7",1,"6.7","23.11.2023",100922,"GB",0.5256,0.69256186,2.3268416,1.6114818,,,,6,7,7,8,3,5
"ESS1e06_7",1,"6.7","23.11.2023",100923,"GB",1.0512,1.115742,2.3268416,2.596155,,,,8,5,6,4,6,4
"ESS1e06_7",1,"6.7","23.11.2023",101001,"GB",0.5256,0.64475584,2.3268416,1.5002447,,,,4,5,1,4,3,3
"ESS1e06_7",1,"6.7","23.11.2023",101003,"GB",1.0512,1.3851237,2.3268416,3.2229636,,,,7,4,8,6,6,7
"ESS1e06_7",1,"6.7","23.11.2023",101004,"GB",1.0512,1.3851237,2.3268416,3.2229636,,,,5,7,6,88,3,0
"ESS1e06_7",1,"6.7","23.11.2023",101007,"GB",1.0512,1.115742,2.3268416,2.596155,,,,7,0,6,6,5,5
"ESS1e06_7",1,"6.7","23.11.2023",101008,"GB",1.0512,1.115742,2.3268416,2.596155,,,,5,5,6,8,4,5
"ESS1e06_7",1,"6.7","23.11.2023",101009,"GB",0.5256,0.64475584,2.3268416,1.5002447,,,,3,88,5,88,5,5
"ESS1e06_7",1,"6.7","23.11.2023",101010,"GB",0.5256,0.6355937,2.3268416,1.478926,,,,6,5,8,7,5,6
"ESS1e06_7",1,"6.7","23.11.2023",101011,"GB",0.5256,0.6355937,2.3268416,1.478926,,,,0,5,5,3,0,0
"ESS1e06_7",1,"6.7","23.11.2023",101012,"GB",1.0512,1.115742,2.3268416,2.596155,,,,3,88,0,88,0,0
"ESS1e06_7",1,"6.7","23.11.2023",101013,"GB",0.5256,0.557871,2.3268416,1.2980775,,,,0,5,5,7,5,5
"ESS1e06_7",1,"6.7","23.11.2023",101014,"GB",1.5768,1.8025786,2.3268416,4.194315,,,,8,4,8,88,3,4
"ESS1e06_7",1,"6.7","23.11.2023",101015,"GB",1.0512,1.201719,2.3268416,2.7962098,,,,4,5,0,0,5,2
"ESS1e06_7",1,"6.7","23.11.2023",101017,"GB",0.5256,0.6355937,2.3268416,1.478926,,,,5,5,7,9,2,3
"ESS1e06_7",1,"6.7","23.11.2023",101021,"GB",0.5256,0.6355937,2.3268416,1.478926,,,,6,88,7,7,88,5
"ESS1e06_7",1,"6.7","23.11.2023",101023,"GB",2.1024,2.5423748,2.3268416,5.915704,,,,6,6,5,7,1,4
"ESS1e06_7",1,"6.7","23.11.2023",101107,"GB",0.0526,0.06013168,2.3268416,0.1399169,,,,7,88,7,6,88,10
"ESS1e06_7",1,"6.7","23.11.2023",101108,"GB",0.5256,0.69256186,2.3268416,1.6114818,,,,6,6,6,3,4,5
"ESS1e06_7",1,"6.7","23.11.2023",101109,"GB",2.1024,2.5790234,2.3268416,6.000979,,,,5,4,6,6,5,5
"ESS1e06_7",1,"6.7","23.11.2023",101111,"GB",1.0512,1.2895117,2.3268416,3.0004895,,,,3,88,4,5,5,8
"ESS1e06_7",1,"6.7","23.11.2023",101112,"GB",1.0512,1.5151882,2.3268416,3.525603,,,,6,3,7,7,7,9
"ESS1e06_7",1,"6.7","23.11.2023",101116,"GB",0.1971,0.22532232,2.3268416,0.52428937,,,,3,88,9,4,7,8
"ESS1e06_7",1,"6.7","23.11.2023",101118,"GB",1.5768,1.9342675,2.3268416,4.5007343,,,,8,4,6,5,7,6
"ESS1e06_7",1,"6.7","23.11.2023",101121,"GB",0.1051,0.12014904,2.3268416,0.27956778,,,,5,3,6,6,7,6
"ESS1e06_7",1,"6.7","23.11.2023",101122,"GB",0.0526,0.06013168,2.3268416,0.1399169,,,,7,0,3,6,5,8
"ESS1e06_7",1,"6.7","23.11.2023",101203,"GB",0.5256,0.557871,2.3268416,1.2980775,,,,8,5,5,1,1,1
"ESS1e06_7",1,"6.7","23.11.2023",101204,"GB",0.5256,0.6355937,2.3268416,1.478926,,,,5,6,7,6,6,4
"ESS1e06_7",1,"6.7","23.11.2023",101208,"GB",1.5768,1.9342675,2.3268416,4.5007343,,,,5,5,8,6,5,5
"ESS1e06_7",1,"6.7","23.11.2023",101211,"GB",1.0512,1.201719,2.3268416,2.7962098,,,,7,4,10,10,4,7
"ESS1e06_7",1,"6.7","23.11.2023",101212,"GB",0.5256,0.69256186,2.3268416,1.6114818,,,,9,7,8,6,6,6
"ESS1e06_7",1,"6.7","23.11.2023",101214,"GB",1.0512,1.3851237,2.3268416,3.2229636,,,,7,4,8,5,5,5
"ESS1e06_7",1,"6.7","23.11.2023",101215,"GB",0.5256,0.6008595,2.3268416,1.3981049,,,,9,2,4,6,5,8
"ESS1e06_7",1,"6.7","23.11.2023",101216,"GB",1.5768,1.9067811,2.3268416,4.4367776,,,,0,5,0,0,0,0
"ESS1e06_7",1,"6.7","23.11.2023",101218,"GB",0.5256,0.557871,2.3268416,1.2980775,,,,7,7,4,8,8,5
"ESS1e06_7",1,"6.7","23.11.2023",101220,"GB",1.0512,1.115742,2.3268416,2.596155,,,,6,2,6,6,5,5
"ESS1e06_7",1,"6.7","23.11.2023",101224,"GB",0.5256,0.69256186,2.3268416,1.6114818,,,,7,5,8,4,3,5
"ESS1e06_7",1,"6.7","23.11.2023",101304,"GB",2.1024,3.0303764,2.3268416,7.051206,,,,2,7,6,6,4,3
"ESS1e06_7",1,"6.7","23.11.2023",101305,"GB",1.5768,1.8025786,2.3268416,4.194315,,,,8,2,2,8,6,4
"ESS1e06_7",1,"6.7","23.11.2023",101306,"GB",1.0512,1.115742,2.3268416,2.596155,,,,7,6,1,3,7,7
"ESS1e06_7",1,"6.7","23.11.2023",101308,"GB",1.0512,1.3851237,2.3268416,3.2229636,,,,8,0,5,8,6,7
"ESS1e06_7",1,"6.7","23.11.2023",101309,"GB",1.5768,2.2727823,2.3268416,5.2884045,,,,8,5,5,8,7,9
"ESS1e06_7",1,"6.7","23.11.2023",101313,"GB",1.0512,1.201719,2.3268416,2.7962098,,,,7,5,8,4,6,6
"ESS1e06_7",1,"6.7","23.11.2023",101315,"GB",1.0512,1.5151882,2.3268416,3.525603,,,,8,5,8,8,5,5
"ESS1e06_7",1,"6.7","23.11.2023",101316,"GB",1.0512,1.5151882,2.3268416,3.525603,,,,3,88,0,4,3,2
"ESS1e06_7",1,"6.7","23.11.2023",101317,"GB",1.0512,1.201719,2.3268416,2.7962098,,,,7,2,6,6,5,6
"ESS1e06_7",1,"6.7","23.11.2023",101318,"GB",1.0512,1.2711874,2.3268416,2.957852,,,,5,5,6,4,1,4
"ESS1e06_7",1,"6.7","23.11.2023",101320,"GB",1.0512,1.5151882,2.3268416,3.525603,,,,5,5,7,4,2,2
"ESS1e06_7",1,"6.7","23.11.2023",101324,"GB",1.0512,1.201719,2.3268416,2.7962098,,,,6,3,4,7,5,5
"ESS1e06_7",1,"6.7","23.11.2023",101401,"GB",0.5256,0.7575941,2.3268416,1.7628015,,,,8,4,8,7,6,7
"ESS1e06_7",1,"6.7","23.11.2023",101402,"GB",0.5256,0.69256186,2.3268416,1.6114818,,,,8,7,9,7,5,6
"ESS1e06_7",1,"6.7","23.11.2023",101404,"GB",1.0512,1.2895117,2.3268416,3.0004895,,,,7,5,7,7,7,7
"ESS1e06_7",1,"6.7","23.11.2023",101405,"GB",1.0512,1.2895117,2.3268416,3.0004895,,,,6,4,6,0,1,1
"ESS1e06_7",1,"6.7","23.11.2023",101408,"GB",1.0512,1.201719,2.3268416,2.7962098,,,,9,3,6,7,7,8
"ESS1e06_7",1,"6.7","23.11.2023",101410,"GB",1.0512,1.2711874,2.3268416,2.957852,,,,5,5,9,5,3,5
"ESS1e06_7",1,"6.7","23.11.2023",101411,"GB",2.1024,3.0303764,2.3268416,7.051206,,,,5,5,0,0,5,5
"ESS1e06_7",1,"6.7","23.11.2023",101413,"GB",1.0512,1.5151882,2.3268416,3.525603,,,,4,3,5,7,0,0
"ESS1e06_7",1,"6.7","23.11.2023",101414,"GB",1.0512,1.115742,2.3268416,2.596155,,,,5,5,7,5,3,2
"ESS1e06_7",1,"6.7","23.11.2023",101419,"GB",0.5256,0.69256186,2.3268416,1.6114818,,,,9,5,9,5,5,5
"ESS1e06_7",1,"6.7","23.11.2023",101420,"GB",1.0512,1.115742,2.3268416,2.596155,,,,7,5,5,5,5,5
"ESS1e06_7",1,"6.7","23.11.2023",101422,"GB",0.5256,0.6355937,2.3268416,1.478926,,,,5,5,4,2,7,6
"ESS1e06_7",1,"6.7","23.11.2023",101503,"GB",0.5256,0.557871,2.3268416,1.2980775,,,,8,7,7,0,5,4
"ESS1e06_7",1,"6.7","23.11.2023",101504,"GB",0.5256,0.69256186,2.3268416,1.6114818,,,,5,7,8,2,5,5
"ESS1e06_7",1,"6.7","23.11.2023",101505,"GB",1.0512,1.115742,2.3268416,2.596155,,,,8,8,7,5,6,5
"ESS1e06_7",1,"6.7","23.11.2023",101506,"GB",0.5256,0.69256186,2.3268416,1.6114818,,,,8,10,10,3,8,8
"ESS1e06_7",1,"6.7","23.11.2023",101509,"GB",0.5256,0.557871,2.3268416,1.2980775,,,,6,6,3,0,0,0
"ESS1e06_7",1,"6.7","23.11.2023",101515,"GB",1.0512,1.115742,2.3268416,2.596155,,,,9,5,8,8,7,3
"ESS1e06_7",1,"6.7","23.11.2023",101517,"GB",1.0512,1.3851237,2.3268416,3.2229636,,,,4,3,7,7,3,3
"ESS1e06_7",1,"6.7","23.11.2023",101520,"GB",1.0512,1.3851237,2.3268416,3.2229636,,,,10,88,8,6,2,5
"ESS1e06_7",1,"6.7","23.11.2023",101521,"GB",1.0512,1.2895117,2.3268416,3.0004895,,,,6,5,8,6,2,4
"ESS1e06_7",1,"6.7","23.11.2023",101522,"GB",1.0512,1.201719,2.3268416,2.7962098,,,,8,88,9,7,5,7
"ESS1e06_7",1,"6.7","23.11.2023",101603,"GB",0.5256,0.69256186,2.3268416,1.6114818,,,,10,10,8,88,8,8
"ESS1e06_7",1,"6.7","23.11.2023",101604,"GB",1.0512,1.5151882,2.3268416,3.525603,,,,5,3,6,10,6,7
"ESS1e06_7",1,"6.7","23.11.2023",101614,"GB",0.5256,0.629462,2.3268416,1.4646584,,,,7,5,5,8,2,8
"ESS1e06_7",1,"6.7","23.11.2023",101616,"GB",1.0512,1.3851237,2.3268416,3.2229636,,,,7,88,2,7,3,4
"ESS1e06_7",1,"6.7","23.11.2023",101617,"GB",1.0512,1.201719,2.3268416,2.7962098,,,,6,3,5,6,2,3
"ESS1e06_7",1,"6.7","23.11.2023",101621,"GB",2.1024,2.403438,2.3268416,5.5924196,,,,6,88,8,6,4,5
"ESS1e06_7",1,"6.7","23.11.2023",101701,"GB",1.0512,1.2711874,2.3268416,2.957852,,,,8,2,6,8,6,8
"ESS1e06_7",1,"6.7","23.11.2023",101702,"GB",0.5256,0.69256186,2.3268416,1.6114818,,,,7,5,7,1,5,3
"ESS1e06_7",1,"6.7","23.11.2023",101703,"GB",2.1024,2.403438,2.3268416,5.5924196,,,,1,1,3,2,5,2
"ESS1e06_7",1,"6.7","23.11.2023",101704,"GB",1.0512,1.115742,2.3268416,2.596155,,,,7,5,7,6,3,5
"ESS1e06_7",1,"6.7","23.11.2023",101705,"GB",1.5768,1.8025786,2.3268416,4.194315,,,,8,88,6,7,4,88
"ESS1e06_7",1,"6.7","23.11.2023",101707,"GB",2.1024,3.0303764,2.3268416,7.051206,,,,5,7,8,8,2,7
"ESS1e06_7",1,"6.7","23.11.2023",101708,"GB",2.1024,2.7702475,2.3268416,6.445927,,,,8,2,5,88,5,4
"ESS1e06_7",1,"6.7","23.11.2023",101712,"GB",1.0512,1.201719,2.3268416,2.7962098,,,,5,88,7,88,7,5
"ESS1e06_7",1,"6.7","23.11.2023",101713,"GB",1.5768,1.8025786,2.3268416,4.194315,,,,6,5,6,5,6,8
"ESS1e06_7",1,"6.7","23.11.2023",101714,"GB",0.5256,0.64475584,2.3268416,1.5002447,,,,5,5,6,2,3,3
"ESS1e06_7",1,"6.7","23.11.2023",101715,"GB",0.5256,0.557871,2.3268416,1.2980775,,,,7,5,8,5,5,5
"ESS1e06_7",1,"6.7","23.11.2023",101716,"GB",1.0512,1.2895117,2.3268416,3.0004895,,,,7,3,7,8,7,6
"ESS1e06_7",1,"6.7","23.11.2023",101717,"GB",2.1024,3.0303764,2.3268416,7.051206,,,,7,5,3,8,5,5
"ESS1e06_7",1,"6.7","23.11.2023",101720,"GB",0.5256,0.6008595,2.3268416,1.3981049,,,,7,2,8,6,5,6
"ESS1e06_7",1,"6.7","23.11.2023",101721,"GB",0.5256,0.557871,2.3268416,1.2980775,,,,8,7,9,3,4,5
"ESS1e06_7",1,"6.7","23.11.2023",101722,"GB",1.0512,1.2895117,2.3268416,3.0004895,,,,1,5,5,7,5,5
"ESS1e06_7",1,"6.7","23.11.2023",101723,"GB",1.0512,1.201719,2.3268416,2.7962098,,,,5,5,3,88,88,5
"ESS1e06_7",1,"6.7","23.11.2023",101724,"GB",0.5256,0.6008595,2.3268416,1.3981049,,,,0,5,5,5,2,3
"ESS1e06_7",1,"6.7","23.11.2023",101801,"GB",2.1024,2.231484,2.3268416,5.19231,,,,6,7,8,7,8,5
"ESS1e06_7",1,"6.7","23.11.2023",101805,"GB",2.1024,2.403438,2.3268416,5.5924196,,,,7,5,7,6,4,3
"ESS1e06_7",1,"6.7","23.11.2023",101806,"GB",0.5256,0.7575941,2.3268416,1.7628015,,,,5,5,8,8,5,7
"ESS1e06_7",1,"6.7","23.11.2023",101809,"GB",0.5256,0.69256186,2.3268416,1.6114818,,,,2,5,10,2,2,2
"ESS1e06_7",1,"6.7","23.11.2023",101811,"GB",1.0512,1.201719,2.3268416,2.7962098,,,,6,6,8,5,5,5
"ESS1e06_7",1,"6.7","23.11.2023",101812,"GB",1.0512,1.3851237,2.3268416,3.2229636,,,,8,6,7,1,4,4
"ESS1e06_7",1,"6.7","23.11.2023",101814,"GB",0.5256,0.557871,2.3268416,1.2980775,,,,3,5,9,5,6,6
"ESS1e06_7",1,"6.7","23.11.2023",101815,"GB",1.0512,1.2711874,2.3268416,2.957852,,,,7,6,7,7,6,6
"ESS1e06_7",1,"6.7","23.11.2023",101816,"GB",1.0512,1.2711874,2.3268416,2.957852,,,,5,3,5,6,4,4
"ESS1e06_7",1,"6.7","23.11.2023",101820,"GB",1.0512,1.115742,2.3268416,2.596155,,,,7,4,6,7,4,5
"ESS1e06_7",1,"6.7","23.11.2023",101823,"GB",0.5256,0.69256186,2.3268416,1.6114818,,,,0,9,8,5,2,6
